price,bed,bath,sqft,acre_sqft_lot,address
"$799,900$60k",3bed,2bath,"2,455sqft",12.5acre lot,"8662 Elizabeth Lake Rd, Leona Valley, CA 93551"
"$673,829",4bed,2bath,"1,910sqft",697sqft lot,"1150 Ramos Dr, Winters, CA 95694"
"$505,716",4bed,3bath,"2,239sqft","7,336sqft lot","44684 Beringer Dr, Indio, CA 92203"
"$13,800,000",6bed,7.5bath,"11,042sqft",0.85acre lot,"1724 Via Coronel, Palos Verdes Estates, CA 90274"
"$354,000",3bed,2bath,"1,383sqft",0.54acre lot,"16811 Mackennas Gold Ave, Palmdale, CA 93591"
"$779,000",3bed,1.5bath,"1,670sqft",0.49acre lot,"1259 San Miguelito Rd, Lompoc, CA 93436"
"$1,230,000",3bed,2bath,"1,480sqft",6.38acre lot,"2920 N Twin Oaks Valley Rd, San Marcos, CA 92069"
"$5,475,000",3bed,3.5bath,"3,345sqft",2.64acre lot,"965 Via Fruteria, Santa Barbara, CA 93110"
"$379,900",3bed,2bath,"1,609sqft","6,969sqft lot","6413 Sultry Rose Ct, Bakersfield, CA 93308"
"$575,000",3bed,3bath,"1,744sqft","7,455sqft lot","2530 Belmont Ave, San Bernardino, CA 92407"
"$299,900",3bed,2bath,"1,404sqft","6,098sqft lot","8221 Charles Pl, California City, CA 93505"
"$419,000",3bed,2bath,"1,046sqft",0.23acre lot,"7524 Wisconsin Dr, Citrus Heights, CA 95610"
"$436,000",4bed,2bath,"2,071sqft","9,583sqft lot","9516 Thoreau Ave, Bakersfield, CA 93311"
"$600,000",4bed,2.5bath,"2,196sqft","5,998sqft lot","8975 Bramblewood Way, Elk Grove, CA 95758"
"$350,000",3bed,2bath,"1,248sqft","6,700sqft lot","2984 E Norwich Ave, Fresno, CA 93726"
"$370,000",3bed,1bath,"1,036sqft","5,001sqft lot","210 West Ave, Oakdale, CA 95361"
"$825,000",2bed,2bath,"1,159sqft","2,000sqft lot","31476 27 Via La Senda, San Juan Capistrano, CA 92675"
"$450,000",3bed,2bath,"1,225sqft","5,471sqft lot","9152 Echo Ridge Ct, Elk Grove, CA 95624"
"$658,361",3bed,2bath,"1,757sqft",697sqft lot,"1152 Ramos Dr, Winters, CA 95694"
"$495,000",3bed,2bath,"1,420sqft",0.25acre lot,"6301 Grant Ave, Carmichael, CA 95608"
"$755,664",3bed,2.5bath,"2,207sqft","6,772sqft lot","39577 Verbena Way, Temecula, CA 92591"
"$300,000",2bed,2bath,"1,248sqft",16.79acre lot,"32121 Hinkley Rd, Barstow, CA 92311"
"$589,000",4bed,2.5bath,"1,901sqft","6,076sqft lot","3519 Shaw Cir, Antioch, CA 94509"
"$635,000",4bed,2.5bath,"2,325sqft","5,619sqft lot","9682 Dublin Bay Ct, Elk Grove, CA 95624"
"$639,900",4bed,3bath,"2,993sqft",3acre lot,"5301 Puerta Del Sol, Camino, CA 95709"
